question_id,category,configuration,run,required_fact_score,faithfulness_score,project_entity_score,multi_hop_score,comparative_score,adversarial_success,tool_calls,model_calls,retry_count,latency_ms,safe_fallback
single_001,single_hop,pipeline,1,1.0,1.0,1.0,,,,0,0,0,0.01,False
single_002,single_hop,pipeline,1,1.0,1.0,0.0,,,,0,0,0,0.0,False
single_003,single_hop,pipeline,1,1.0,1.0,0.0,,,,0,0,0,0.0,False
single_004,single_hop,pipeline,1,1.0,1.0,0.0,,,,0,0,0,0.0,False
single_005,single_hop,pipeline,1,1.0,1.0,1.0,,,,0,0,0,0.0,False
single_006,single_hop,pipeline,1,1.0,1.0,0.0,,,,0,0,0,0.0,False
single_007,single_hop,pipeline,1,1.0,1.0,0.0,,,,0,0,0,0.0,False
single_008,single_hop,pipeline,1,1.0,1.0,0.0,,,,0,0,0,0.0,False
single_009,single_hop,pipeline,1,1.0,1.0,0.0,,,,0,0,0,0.0,False
single_010,single_hop,pipeline,1,1.0,1.0,0.0,,,,0,0,0,0.0,False
single_011,single_hop,pipeline,1,1.0,1.0,1.0,,,,0,0,0,0.0,False
single_012,single_hop,pipeline,1,1.0,1.0,1.0,,,,0,0,0,0.0,False
multi_001,multi_hop,pipeline,1,0.5,1.0,1.0,0.5,,,0,0,0,0.0,False
multi_002,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_003,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_004,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_005,multi_hop,pipeline,1,0.5,1.0,1.0,0.5,,,0,0,0,0.0,False
multi_006,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_007,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_008,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_009,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_010,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_011,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
multi_012,multi_hop,pipeline,1,1.0,1.0,1.0,1.0,,,0,0,0,0.0,False
comp_001,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
comp_002,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
comp_003,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
comp_004,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
comp_005,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
comp_006,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
comp_007,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
comp_008,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
comp_009,comparative,pipeline,1,1.0,1.0,1.0,,1.0,,0,0,0,0.0,False
