question_id,category,configuration,run,required_fact_score,faithfulness_score,project_entity_score,multi_hop_score,comparative_score,adversarial_success,tool_calls,model_calls,retry_count,latency_ms,safe_fallback
single_001,single_hop,agent_no_assertions,1,1.0,1.0,1.0,,,,1,2,0,89.52,False
single_002,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,71.57,False
single_003,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,50.77,False
single_004,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,47.99,False
single_005,single_hop,agent_no_assertions,1,1.0,1.0,1.0,,,,1,2,0,41.46,False
single_006,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,33.66,False
single_007,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,42.11,False
single_008,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,22.65,False
single_009,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,30.0,False
single_010,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,30.91,False
single_011,single_hop,agent_no_assertions,1,1.0,1.0,1.0,,,,1,2,0,74.97,False
single_012,single_hop,agent_no_assertions,1,1.0,1.0,1.0,,,,1,2,0,63.5,False
multi_001,multi_hop,agent_no_assertions,1,0.5,1.0,1.0,0.5,,,2,2,0,87.87,False
multi_002,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,107.51,False
multi_003,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,64.13,False
multi_004,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,42.9,False
multi_005,multi_hop,agent_no_assertions,1,0.5,1.0,1.0,0.5,,,2,2,0,59.24,False
multi_006,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,62.94,False
multi_007,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,56.25,False
multi_008,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,68.25,False
multi_009,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,1,2,0,29.66,False
multi_010,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,52.55,False
multi_011,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,47.39,False
multi_012,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,1,2,0,35.15,False
comp_001,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,70.0,False
comp_002,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,54.94,False
comp_003,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,56.53,False
comp_004,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,62.45,False
comp_005,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,51.97,False
comp_006,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,61.62,False
comp_007,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,1,2,0,60.0,False
comp_008,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,57.92,False
comp_009,comparative,agent_no_assertions,1,1.0,1.0,1.0,,1.0,,2,2,0,42.54,False
adv_001,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,102.86,False
adv_002,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,62.99,False
adv_003,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,38.94,False
adv_004,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,42.92,False
adv_005,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,45.0,False
adv_006,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,49.25,False
adv_007,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,40.12,False
adv_008,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,38.16,False
adv_009,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,39.19,False
adv_010,adversarial,agent_no_assertions,1,0.0,0.0,0.0,,,False,1,2,0,80.76,False
single_001,single_hop,agent_with_assertions,1,1.0,1.0,1.0,,,,1,2,0,91.34,False
single_002,single_hop,agent_with_assertions,1,1.0,1.0,0.0,,,,1,2,0,74.97,False
single_003,single_hop,agent_with_assertions,1,0.0,0.0,0.0,,,,1,3,1,64.13,True
single_004,single_hop,agent_with_assertions,1,1.0,1.0,0.0,,,,1,2,0,37.84,False
single_005,single_hop,agent_with_assertions,1,1.0,1.0,1.0,,,,1,2,0,61.7,False
