question_id,category,configuration,run,required_fact_score,faithfulness_score,project_entity_score,multi_hop_score,comparative_score,adversarial_success,tool_calls,model_calls,retry_count,latency_ms,safe_fallback
single_001,single_hop,agent_no_assertions,1,1.0,1.0,1.0,,,,1,2,0,32.44,False
single_002,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,27.77,False
single_003,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,27.7,False
single_004,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,32.03,False
single_005,single_hop,agent_no_assertions,1,1.0,1.0,1.0,,,,1,2,0,30.11,False
single_006,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,26.26,False
single_007,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,19.99,False
single_008,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,18.53,False
single_009,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,36.79,False
single_010,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,33.44,False
single_011,single_hop,agent_no_assertions,1,1.0,1.0,1.0,,,,1,2,0,33.73,False
single_012,single_hop,agent_no_assertions,1,1.0,1.0,1.0,,,,1,2,0,42.03,False
multi_001,multi_hop,agent_no_assertions,1,0.5,1.0,1.0,0.5,,,2,2,0,29.33,False
multi_002,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,64.62,False
multi_003,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,44.76,False
multi_004,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,25.43,False
multi_005,multi_hop,agent_no_assertions,1,0.5,1.0,1.0,0.5,,,2,2,0,27.77,False
multi_006,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,39.72,False
multi_007,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,25.77,False
multi_008,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,36.69,False
multi_009,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,1,2,0,28.82,False
multi_010,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,32.25,False
multi_011,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,22.35,False
