question_id,category,configuration,run,required_fact_score,faithfulness_score,project_entity_score,multi_hop_score,comparative_score,adversarial_success,tool_calls,model_calls,retry_count,latency_ms,safe_fallback
single_001,single_hop,agent_no_assertions,1,1.0,1.0,1.0,,,,1,2,0,19.11,False
single_002,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,20.08,False
single_003,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,12.25,False
single_004,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,19.13,False
single_005,single_hop,agent_no_assertions,1,1.0,1.0,1.0,,,,1,2,0,14.3,False
single_006,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,19.97,False
single_007,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,14.3,False
single_008,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,27.52,False
single_009,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,26.08,False
single_010,single_hop,agent_no_assertions,1,1.0,1.0,0.0,,,,1,2,0,13.46,False
single_011,single_hop,agent_no_assertions,1,1.0,1.0,1.0,,,,1,2,0,42.31,False
single_012,single_hop,agent_no_assertions,1,1.0,1.0,1.0,,,,1,2,0,26.59,False
multi_001,multi_hop,agent_no_assertions,1,0.5,1.0,1.0,0.5,,,2,2,0,30.21,False
multi_002,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,29.16,False
multi_003,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,14.11,False
multi_004,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,18.06,False
multi_005,multi_hop,agent_no_assertions,1,0.5,1.0,1.0,0.5,,,2,2,0,20.75,False
multi_006,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,19.27,False
multi_007,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,20.89,False
multi_008,multi_hop,agent_no_assertions,1,1.0,1.0,1.0,1.0,,,2,2,0,16.22,False
