question_id,configuration,run,correctness_0_2,completeness_0_2,relevance_0_2,clarity_0_2,review_notes
single_001,pipeline,1,,,,,
single_002,pipeline,1,,,,,
single_003,pipeline,1,,,,,
single_004,pipeline,1,,,,,
single_005,pipeline,1,,,,,
single_006,pipeline,1,,,,,
single_007,pipeline,1,,,,,
single_008,pipeline,1,,,,,
single_009,pipeline,1,,,,,
single_010,pipeline,1,,,,,
single_011,pipeline,1,,,,,
single_012,pipeline,1,,,,,
multi_001,pipeline,1,,,,,
multi_002,pipeline,1,,,,,
multi_003,pipeline,1,,,,,
multi_004,pipeline,1,,,,,
multi_005,pipeline,1,,,,,
multi_006,pipeline,1,,,,,
multi_007,pipeline,1,,,,,
multi_008,pipeline,1,,,,,
multi_009,pipeline,1,,,,,
multi_010,pipeline,1,,,,,
multi_011,pipeline,1,,,,,
multi_012,pipeline,1,,,,,
comp_001,pipeline,1,,,,,
comp_002,pipeline,1,,,,,
comp_003,pipeline,1,,,,,
comp_004,pipeline,1,,,,,
comp_005,pipeline,1,,,,,
comp_006,pipeline,1,,,,,
comp_007,pipeline,1,,,,,
comp_008,pipeline,1,,,,,
comp_009,pipeline,1,,,,,
adv_001,pipeline,1,,,,,
adv_002,pipeline,1,,,,,
adv_003,pipeline,1,,,,,
adv_004,pipeline,1,,,,,
adv_005,pipeline,1,,,,,
adv_006,pipeline,1,,,,,
adv_007,pipeline,1,,,,,
adv_008,pipeline,1,,,,,
adv_009,pipeline,1,,,,,
adv_010,pipeline,1,,,,,
single_001,agent_no_assertions,1,,,,,
single_002,agent_no_assertions,1,,,,,
single_003,agent_no_assertions,1,,,,,
single_004,agent_no_assertions,1,,,,,
single_005,agent_no_assertions,1,,,,,
single_006,agent_no_assertions,1,,,,,
single_007,agent_no_assertions,1,,,,,
single_008,agent_no_assertions,1,,,,,
single_009,agent_no_assertions,1,,,,,
single_010,agent_no_assertions,1,,,,,
single_011,agent_no_assertions,1,,,,,
single_012,agent_no_assertions,1,,,,,
multi_001,agent_no_assertions,1,,,,,
multi_002,agent_no_assertions,1,,,,,
multi_003,agent_no_assertions,1,,,,,
multi_004,agent_no_assertions,1,,,,,
multi_005,agent_no_assertions,1,,,,,
multi_006,agent_no_assertions,1,,,,,
multi_007,agent_no_assertions,1,,,,,
multi_008,agent_no_assertions,1,,,,,
multi_009,agent_no_assertions,1,,,,,
multi_010,agent_no_assertions,1,,,,,
multi_011,agent_no_assertions,1,,,,,
multi_012,agent_no_assertions,1,,,,,
comp_001,agent_no_assertions,1,,,,,
comp_002,agent_no_assertions,1,,,,,
comp_003,agent_no_assertions,1,,,,,
comp_004,agent_no_assertions,1,,,,,
comp_005,agent_no_assertions,1,,,,,
comp_006,agent_no_assertions,1,,,,,
comp_007,agent_no_assertions,1,,,,,
comp_008,agent_no_assertions,1,,,,,
comp_009,agent_no_assertions,1,,,,,
adv_001,agent_no_assertions,1,,,,,
adv_002,agent_no_assertions,1,,,,,
adv_003,agent_no_assertions,1,,,,,
adv_004,agent_no_assertions,1,,,,,
adv_005,agent_no_assertions,1,,,,,
adv_006,agent_no_assertions,1,,,,,
adv_007,agent_no_assertions,1,,,,,
adv_008,agent_no_assertions,1,,,,,
adv_009,agent_no_assertions,1,,,,,
adv_010,agent_no_assertions,1,,,,,
single_001,agent_with_assertions,1,,,,,
single_002,agent_with_assertions,1,,,,,
single_003,agent_with_assertions,1,,,,,
single_004,agent_with_assertions,1,,,,,
single_005,agent_with_assertions,1,,,,,
single_006,agent_with_assertions,1,,,,,
single_007,agent_with_assertions,1,,,,,
single_008,agent_with_assertions,1,,,,,
single_009,agent_with_assertions,1,,,,,
single_010,agent_with_assertions,1,,,,,
single_011,agent_with_assertions,1,,,,,
single_012,agent_with_assertions,1,,,,,
multi_001,agent_with_assertions,1,,,,,
multi_002,agent_with_assertions,1,,,,,
multi_003,agent_with_assertions,1,,,,,
multi_004,agent_with_assertions,1,,,,,
multi_005,agent_with_assertions,1,,,,,
multi_006,agent_with_assertions,1,,,,,
multi_007,agent_with_assertions,1,,,,,
multi_008,agent_with_assertions,1,,,,,
multi_009,agent_with_assertions,1,,,,,
multi_010,agent_with_assertions,1,,,,,
multi_011,agent_with_assertions,1,,,,,
multi_012,agent_with_assertions,1,,,,,
comp_001,agent_with_assertions,1,,,,,
comp_002,agent_with_assertions,1,,,,,
comp_003,agent_with_assertions,1,,,,,
comp_004,agent_with_assertions,1,,,,,
comp_005,agent_with_assertions,1,,,,,
comp_006,agent_with_assertions,1,,,,,
comp_007,agent_with_assertions,1,,,,,
comp_008,agent_with_assertions,1,,,,,
comp_009,agent_with_assertions,1,,,,,
adv_001,agent_with_assertions,1,,,,,
adv_002,agent_with_assertions,1,,,,,
adv_003,agent_with_assertions,1,,,,,
adv_004,agent_with_assertions,1,,,,,
adv_005,agent_with_assertions,1,,,,,
adv_006,agent_with_assertions,1,,,,,
adv_007,agent_with_assertions,1,,,,,
adv_008,agent_with_assertions,1,,,,,
adv_009,agent_with_assertions,1,,,,,
adv_010,agent_with_assertions,1,,,,,
single_001,agent_without_project_exists,1,,,,,
single_002,agent_without_project_exists,1,,,,,
single_003,agent_without_project_exists,1,,,,,
single_004,agent_without_project_exists,1,,,,,
single_005,agent_without_project_exists,1,,,,,
single_006,agent_without_project_exists,1,,,,,
single_007,agent_without_project_exists,1,,,,,
single_008,agent_without_project_exists,1,,,,,
single_009,agent_without_project_exists,1,,,,,
single_010,agent_without_project_exists,1,,,,,
single_011,agent_without_project_exists,1,,,,,
single_012,agent_without_project_exists,1,,,,,
multi_001,agent_without_project_exists,1,,,,,
multi_002,agent_without_project_exists,1,,,,,
multi_003,agent_without_project_exists,1,,,,,
multi_004,agent_without_project_exists,1,,,,,
multi_005,agent_without_project_exists,1,,,,,
multi_006,agent_without_project_exists,1,,,,,
multi_007,agent_without_project_exists,1,,,,,
multi_008,agent_without_project_exists,1,,,,,
multi_009,agent_without_project_exists,1,,,,,
multi_010,agent_without_project_exists,1,,,,,
multi_011,agent_without_project_exists,1,,,,,
multi_012,agent_without_project_exists,1,,,,,
comp_001,agent_without_project_exists,1,,,,,
comp_002,agent_without_project_exists,1,,,,,
comp_003,agent_without_project_exists,1,,,,,
comp_004,agent_without_project_exists,1,,,,,
comp_005,agent_without_project_exists,1,,,,,
comp_006,agent_without_project_exists,1,,,,,
comp_007,agent_without_project_exists,1,,,,,
comp_008,agent_without_project_exists,1,,,,,
comp_009,agent_without_project_exists,1,,,,,
adv_001,agent_without_project_exists,1,,,,,
adv_002,agent_without_project_exists,1,,,,,
adv_003,agent_without_project_exists,1,,,,,
adv_004,agent_without_project_exists,1,,,,,
adv_005,agent_without_project_exists,1,,,,,
adv_006,agent_without_project_exists,1,,,,,
adv_007,agent_without_project_exists,1,,,,,
adv_008,agent_without_project_exists,1,,,,,
adv_009,agent_without_project_exists,1,,,,,
adv_010,agent_without_project_exists,1,,,,,
single_001,agent_without_technology_grounded,1,,,,,
single_002,agent_without_technology_grounded,1,,,,,
single_003,agent_without_technology_grounded,1,,,,,
single_004,agent_without_technology_grounded,1,,,,,
single_005,agent_without_technology_grounded,1,,,,,
single_006,agent_without_technology_grounded,1,,,,,
single_007,agent_without_technology_grounded,1,,,,,
single_008,agent_without_technology_grounded,1,,,,,
single_009,agent_without_technology_grounded,1,,,,,
single_010,agent_without_technology_grounded,1,,,,,
single_011,agent_without_technology_grounded,1,,,,,
single_012,agent_without_technology_grounded,1,,,,,
multi_001,agent_without_technology_grounded,1,,,,,
multi_002,agent_without_technology_grounded,1,,,,,
multi_003,agent_without_technology_grounded,1,,,,,
multi_004,agent_without_technology_grounded,1,,,,,
